level,equation,answer
1,2+3,5
1,4*3,12
1,10-5,5
1,8/2,4
1,7+9,16
1,6*4,24
1,15-7,8
1,20/4,5
1,11+8,19
1,5*6,30
1,18-9,9
1,16/2,8
1,13+7,20
1,9*3,27
1,25-12,13
2,3x-4=2,2
2,2x+5=11,3
2,4x-7=9,4
2,x+3=7,4
2,2x=10,5
2,5x-3=12,3
2,3x+2=14,4
2,x-5=3,8
2,6x=18,3
2,4x+1=13,3
2,2x-3=7,5
2,5x+4=19,3
2,3x=15,5
2,x+7=12,5
2,7x-2=12,2
3,sqrt(16),4
3,sqrt(25),5
3,sqrt(36),6
3,1/2+1/4,0.75
3,3/4-1/4,0.5
3,1/3*3,1
3,654/2,327
3,234*3,702
3,567+123,690
3,890-456,434
3,sqrt(49),7
3,2/3+1/6,0.833
3,5/6-1/3,0.5
3,789/3,263

